gene_id	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_mRNA_xtail	log2FC_RPF_xtail	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS01365	2.14142888785768	0.0351699686301253	0.282759958564918	-0.280951190412781	1.83494787338964	raw_counts / xtail internal size factors	0.029	0.024	0.081	0.424	6.248	4.975	4.544	19.227	6.248	4.975	4.544	19.227
MM_RS05190	-1.42797556886318	0.0350270195206366	0.282759958564918	-0.054419287634615	-1.48121020266791	raw_counts / xtail internal size factors	1.492	1.237	4.019	2.961	318.085	266.379	256.253	130.635	318.085	266.379	256.253	130.635
MM_RS03360	-1.17370236392677	0.0349278008113119	0.282759958564918	1.36249487708993	0.188503438950752	raw_counts / xtail internal size factors	0.646	1.371	1.704	3.453	137.959	297.788	102.658	149.946	137.959	297.788	102.658	149.946
MM_RS07375	-1.09341134230452	0.0351090621476677	0.282759958564918	-1.52780027904304	-2.61981969081705	raw_counts / xtail internal size factors	0.44	0.137	3.903	1.151	93.447	29.309	236.986	50.61	93.447	29.309	236.986	50.61
MM_RS05990	-1.15105645950593	0.0353527759074269	0.282904614662463	-0.667190088439136	-1.81764919908096	raw_counts / xtail internal size factors	0.855	0.462	8.936	4.765	183.809	99.085	550.426	210.555	183.809	99.085	550.426	210.555
MM_RS09730	-1.04367920829383	0.035348385094581	0.282904614662463	-0.166563353738818	-1.209898594751	raw_counts / xtail internal size factors	0.356	0.293	4.181	2.829	76.301	61.972	242.88	131.219	76.301	61.972	242.88	131.219
MM_RS13270	-1.51351370972997	0.0357880201315918	0.285721565376173	0.685165932396831	-0.827348796907254	raw_counts / xtail internal size factors	0.28	0.427	4.492	5.447	60.134	89.594	291.969	242.688	60.134	89.594	291.969	242.688
MM_RS11040	-1.15811050529793	0.0360085505905858	0.286665319449738	-2.17041684925741	-3.32075644079087	raw_counts / xtail internal size factors	2.126	0.409	7.306	1.299	453.555	88.067	440.223	57.584	453.555	88.067	440.223	57.584
MM_RS12270	-1.00659845369341	0.0360732356546131	0.286665319449738	0.567164572157079	-0.441467893040311	raw_counts / xtail internal size factors	0.513	0.68	5.848	7.112	110.174	144.643	344.029	315.606	110.174	144.643	344.029	315.606
MM_RS13140	-1.09958341478952	0.036161348783763	0.286701871535008	-0.384804001315406	-1.48364700195771	raw_counts / xtail internal size factors	0.498	0.384	2.172	1.17	106.15	79.798	124.423	53.744	106.15	79.798	124.423	53.744
MM_RS06925	-1.17938237397962	0.0364826787411313	0.288583032530654	0.638874892508139	-0.540318292365818	raw_counts / xtail internal size factors	0.281	0.389	1.935	1.995	60.33	82.848	109.931	86.997	60.33	82.848	109.931	86.997
MM_RS03950	-2.00354836755681	0.0366588668624933	0.289310091813654	0.602371689312659	-1.40171252264056	raw_counts / xtail internal size factors	0.373	0.494	26.915	12.671	77.49	107.439	1447.934	554.192	77.49	107.439	1447.934	554.192
MM_RS00395	-1.88110179137318	0.0372420762534871	0.290300813033939	1.51972179939284	-0.361682955798971	raw_counts / xtail internal size factors	0.413	1.267	19.386	18.74	85.713	263.606	1053.066	916.63	85.713	263.606	1053.066	916.63
MM_RS15780	-1.7775344313685	0.0369713591989372	0.290300813033939	1.92659825004598	0.143404151188895	raw_counts / xtail internal size factors	0.017	0.061	0.316	0.628	3.646	12.878	19.03	26.798	3.646	12.878	19.03	26.798
MM_RS04840	-1.37630629622567	0.0369560139514447	0.290300813033939	-0.723977023532223	-2.0996337571764	raw_counts / xtail internal size factors	1.074	0.547	25.807	8.447	226.962	119.047	1435.018	362.811	226.962	119.047	1435.018	362.811
MM_RS15855	1.20424603917207	0.0372917735356735	0.290300813033939	0.00768330388734596	1.2083423065595	raw_counts / xtail internal size factors	0.126	0.113	0.381	1.468	26.883	24.147	22.563	66.496	26.883	24.147	22.563	66.496
MM_RS10430	-1.08446927964832	0.0370697427701366	0.290300813033939	0.943966431125719	-0.140294891980559	raw_counts / xtail internal size factors	0.339	0.636	10.772	17.909	71.504	133.882	659.443	812.786	71.504	133.882	659.443	812.786
MM_RS01935	0.977297461213896	0.0371494384829205	0.290300813033939	0.21460571933593	1.19117896623605	raw_counts / xtail internal size factors	0.226	0.239	1.132	4.104	47.979	50.861	65.748	183.64	47.979	50.861	65.748	183.64
MM_RS11250	-1.12458230277022	0.0377097804873909	0.292890670618129	0.896594005111436	-0.22844461992883	raw_counts / xtail internal size factors	0.148	0.252	2.116	2.876	31.949	53.096	123.132	129.18	31.949	53.096	123.132	129.18
MM_RS02575	1.27984317059604	0.0380894705646524	0.293186440467381	0.166365635913781	1.44677477869265	raw_counts / xtail internal size factors	45.57	48.694	402.138	1529.489	9500.925	10364.676	22390.402	67437.314	9500.925	10364.676	22390.402	67437.314
MM_RS07625	-1.08449759749005	0.0380771995370407	0.293186440467381	-0.970705667236059	-2.05532885264184	raw_counts / xtail internal size factors	1.985	0.926	43.988	19.302	420.608	197.221	2676.192	844.198	420.608	197.221	2676.192	844.198
