gene_id	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS00680	-0.705956952971886	0.627949184444053	-1.12422624387497	0.260917058693655	0.666348334916013	2702.02110935553	raw_counts / DESeq2 median-of-ratios	0.546	3.352	6.797	51.433	114.737	719.358	408.044	2306.01	114.737	719.358	408.044	2306.01
MM_RS08720	-0.610521164525955	0.547564482565257	-1.1149758320075	0.264860778478965	0.674058531651972	347.297803550105	raw_counts / DESeq2 median-of-ratios	0.126	0.136	1.066	1.361	26.956	28.711	63.638	60.796	26.956	28.711	63.638	60.796
MM_RS00960	2.07025501609165	1.88816426883489	1.09643797960922	0.272887150886435	0.674678214401934	178820.464646904	raw_counts / DESeq2 median-of-ratios	76.378	21.407	1147.621	3334.683	15890.554	4813.437	72933.308	140895.088	15890.554	4813.437	72933.308	140895.088
MM_RS13350	1.66411227357408	1.51443585874198	1.09883311595411	0.271840864671094	0.674678214401934	434.450733025286	raw_counts / DESeq2 median-of-ratios	6.067	0.009	106.328	0.835	1243.72	1.752	5675.609	37.494	1243.72	1.752	5675.609	37.494
MM_RS03940	-0.950470061253348	0.864244257930625	-1.09977017785364	0.271432269060002	0.674678214401934	330.77290355512	raw_counts / DESeq2 median-of-ratios	0.101	0.513	11.929	16.348	20.934	105.876	639.687	762.567	20.934	105.876	639.687	762.567
MM_RS17915	-0.839605551306534	0.76561300065039	-1.09664484614719	0.272796675218328	0.674678214401934	347.453093599368	raw_counts / DESeq2 median-of-ratios	1.468	0.215	35.353	6.079	305.648	47.246	2030.684	267.177	305.648	47.246	2030.684	267.177
MM_RS05445	-0.833068490972098	0.75643756732644	-1.10130502100326	0.270763926647113	0.674678214401934	948.472907580164	raw_counts / DESeq2 median-of-ratios	1.045	0.482	18.094	10.438	218.118	103.625	1084.296	466.38	218.118	103.625	1084.296	466.38
MM_RS11150	-0.77707806129953	0.70308554030793	-1.10523971373269	0.269055732733565	0.674678214401934	214.344798814532	raw_counts / DESeq2 median-of-ratios	0.335	0.115	3.171	0.996	71.023	23.837	187.356	44.07	71.023	23.837	187.356	44.07
MM_RS09560	0.757112863100826	0.680672267194276	1.11230161649106	0.266008489092491	0.674678214401934	330.93369716064	raw_counts / DESeq2 median-of-ratios	1.109	0.4	4.041	5.558	232.898	87.373	241.636	237.449	232.898	87.373	241.636	237.449
MM_RS02540	-0.70936363115102	0.644337096447282	-1.10092005421119	0.270931453108068	0.674678214401934	583.041373877488	raw_counts / DESeq2 median-of-ratios	0.481	0.42	5.369	5.591	101.183	89.562	323.052	254.781	101.183	89.562	323.052	254.781
MM_RS04910	-0.705720224292718	0.642836078480402	-1.0978229877218	0.272281791511035	0.674678214401934	400.104334715929	raw_counts / DESeq2 median-of-ratios	12.205	4.349	417.066	151.777	2559.417	936.442	23487.548	7145.007	2559.417	936.442	23487.548	7145.007
MM_RS18875	0.692325130774167	0.630604777253794	1.09787485878105	0.272259137576935	0.674678214401934	333.157068098659	raw_counts / DESeq2 median-of-ratios	7.113	6.081	107.804	292.795	1490.138	1310.338	6286.398	13022.356	1490.138	1310.338	6286.398	13022.356
MM_RS02340	-0.665762724417844	0.603010526711178	-1.10406484617925	0.26956500920245	0.674678214401934	840.386085067594	raw_counts / DESeq2 median-of-ratios	6.342	3.369	13.528	9.272	1364.195	728.979	789.179	412.64	1364.195	728.979	789.179	412.64
MM_RS07950	0.657184910771562	0.592940540891664	1.1083487558184	0.267711226723773	0.674678214401934	400.255414405716	raw_counts / DESeq2 median-of-ratios	0.444	0.531	1.25	4.643	94.849	114.502	72.077	197.571	94.849	114.502	72.077	197.571
MM_RS05250	0.628771020946374	0.566834694218913	1.10926700034268	0.267315016506681	0.674678214401934	335.53287871159	raw_counts / DESeq2 median-of-ratios	8.075	2.756	38.862	37.25	1716.632	581.746	2350.091	1719.565	1716.632	581.746	2350.091	1719.565
MM_RS12135	0.616087259528838	0.558925349128833	1.10227110022671	0.270343829480699	0.674678214401934	238.388681124134	raw_counts / DESeq2 median-of-ratios	0.113	0.208	0.484	2.584	23.886	44.561	28.513	114.059	23.886	44.561	28.513	114.059
MM_RS05495	0.613047739614387	0.55494542734005	1.10469914591932	0.269289973621851	0.674678214401934	218.108345371521	raw_counts / DESeq2 median-of-ratios	0.15	0.192	0.541	1.89	31.712	41.337	31.27	84.445	31.712	41.337	31.27	84.445
MM_RS14055	-0.607322965325051	0.548163920924978	-1.1079221782788	0.267895426461001	0.674678214401934	249.741422948761	raw_counts / DESeq2 median-of-ratios	0.322	0.153	3.552	2.104	68.466	32.754	209.04	92.677	68.466	32.754	209.04	92.677
MM_RS01340	-0.592956705138918	0.541510126948451	-1.09500575451909	0.273514115424254	0.675025049988328	383.03243019873	raw_counts / DESeq2 median-of-ratios	1.107	1.275	13.724	18.596	233.435	272.612	795.213	838.255	233.435	272.612	795.213	838.255
MM_RS01905	1.05248939082586	0.970298597259854	1.08470670141966	0.278051578842098	0.681183373222436	33773.6632479423	raw_counts / DESeq2 median-of-ratios	99.601	37.159	11.334	18.842	20818.295	8223.92	726.377	839.333	20818.295	8223.92	726.377	839.333
MM_RS10180	0.702771510477177	0.64770406108411	1.08501945981456	0.277913036543031	0.681183373222436	228.30214013358	raw_counts / DESeq2 median-of-ratios	0.553	0.455	1.685	3.706	118.523	95.479	97.668	167.921	118.523	95.479	97.668	167.921
MM_RS10200	0.691820080746427	0.638367837966156	1.083732668849	0.278483346335942	0.681183373222436	324.429618130056	raw_counts / DESeq2 median-of-ratios	0.816	0.343	3.606	4.876	171.848	73.972	215.314	218.571	171.848	73.972	215.314	218.571
MM_RS05895	-0.648432637444266	0.5976387815593	-1.0849908965955	0.277925687215486	0.681183373222436	252.193403519479	raw_counts / DESeq2 median-of-ratios	0.19	0.356	2.122	4.96	40.24	76.66	126.444	220.123	40.24	76.66	126.444	220.123
MM_RS14530	0.645297912358362	0.59558185478636	1.08347476870301	0.278597744223928	0.681183373222436	224.765136049567	raw_counts / DESeq2 median-of-ratios	0.144	0.238	0.743	3.841	30.729	51.459	44.615	173.871	30.729	51.459	44.615	173.871
