gene_id	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS17815	-0.391501051670797	1.41469924354924	0.78198128441821	0.878157011171955	3.55496213893546	raw_counts / DESeq2 median-of-ratios	1.355	1.707	76.988	72.965	76.988	72.965
MM_RS00245	-0.139046936915772	0.502619277891286	0.782052972311793	0.878157011171955	404.774282626188	raw_counts / DESeq2 median-of-ratios	1.566	2.686	95.808	120.009	95.808	120.009
MM_RS16030	-0.136344933912183	0.492331414047731	0.781828248815765	0.878157011171955	82.2316783355354	raw_counts / DESeq2 median-of-ratios	2.434	3.602	141.413	163.197	141.413	163.197
MM_RS12400	-0.726862167618183	2.63261782525178	0.782472315009485	0.878342338655432	36.6991243398308	raw_counts / DESeq2 median-of-ratios	0.162	0.167	9.684	8.671	9.684	8.671
MM_RS11715	-0.135393305652743	0.491976877363774	0.783160605386027	0.878829347304528	103.219269229047	raw_counts / DESeq2 median-of-ratios	0.631	0.973	37.369	44.78	37.369	44.78
MM_RS09245	0.167456836334159	0.609584570580493	0.783541746405709	0.878928982453009	43.7891362793647	raw_counts / DESeq2 median-of-ratios	0.097	0.166	5.516	7.497	5.516	7.497
MM_RS10080	0.155257198594501	0.565755365019289	0.783758328302047	0.878928982453009	49.2011851552022	raw_counts / DESeq2 median-of-ratios	0.249	0.489	14.976	22.35	14.976	22.35
MM_RS00620	0.138521596400649	0.50855650257592	0.785328373386729	0.880403830469901	78.1006466225955	raw_counts / DESeq2 median-of-ratios	0.693	1.348	41.498	60.775	41.498	60.775
MM_RS00530	-0.168986615917904	0.624047115887774	0.786551445389556	0.881488868389204	137.915067521743	raw_counts / DESeq2 median-of-ratios	1.127	1.463	63.518	69.332	63.518	69.332
MM_RS08195	-0.121157473953733	0.449373944702531	0.787457284759686	0.882217794862133	225.805425690072	raw_counts / DESeq2 median-of-ratios	0.414	0.645	24.318	28.43	24.318	28.43
MM_RS19135	0.161712586840304	0.601405012559555	0.788013317777668	0.88226839533357	132.0167621311	raw_counts / DESeq2 median-of-ratios	3.414	7.59	212.611	332.86	212.611	332.86
MM_RS08560	0.144940257994965	0.538988668231219	0.787997777499451	0.88226839533357	134.959709515865	raw_counts / DESeq2 median-of-ratios	14.356	26.521	835.081	1138.213	835.081	1138.213
MM_RS16375	0.113962799859677	0.425001081913586	0.788586106350108	0.882623594080775	348.007248259975	raw_counts / DESeq2 median-of-ratios	0.973	1.727	56.579	77.047	56.579	77.047
MM_RS12335	-0.115471245047742	0.440155432758455	0.793057804382696	0.887340996546107	374.310265491618	raw_counts / DESeq2 median-of-ratios	2.502	3.745	144.771	165.855	144.771	165.855
MM_RS18540	0.154572112631828	0.591240855335963	0.793755687255526	0.887834243452263	211.8722167058	raw_counts / DESeq2 median-of-ratios	40.716	65.464	2279.368	3022.988	2279.368	3022.988
MM_RS08730	0.157443582053374	0.608510905278292	0.795839062267284	0.889876374577922	51.3573669283917	raw_counts / DESeq2 median-of-ratios	0.204	0.342	11.539	15.793	11.539	15.793
