gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS10930	-1.95755023063132	0.476233657960419	3.94832796943472e-05	0.000684090737312929	115.15523808121	raw_counts / DESeq2 median-of-ratios	0.446	0.111	94.682	23.428	94.682	23.428
MM_RS03365	1.89554754446486	0.461928247892448	4.06851301139488e-05	0.000699842777715479	264.925414938092	raw_counts / DESeq2 median-of-ratios	0.275	0.874	58.66	189.829	58.66	189.829
MM_RS11075	-2.44996911503782	0.597698060427369	4.14924744231444e-05	0.000708632188183845	68.2257664140862	raw_counts / DESeq2 median-of-ratios	0.868	0.158	185.112	32.954	185.112	32.954
MM_RS06130	-2.57146309672415	0.628240302448193	4.25606876385945e-05	0.000721551782393733	63.176936219045	raw_counts / DESeq2 median-of-ratios	0.174	0.025	36.89	5.549	36.89	5.549
MM_RS06835	1.67286303997731	0.4088594048418	4.28525107067796e-05	0.000721551782393733	223.467613871492	raw_counts / DESeq2 median-of-ratios	0.185	0.538	39.487	115.212	39.487	115.212
MM_RS00215	-2.45042385930448	0.599575658936781	4.37118584470243e-05	0.000728165615395455	56.2687762362584	raw_counts / DESeq2 median-of-ratios	0.142	0.025	30.189	5.359	30.189	5.359
MM_RS05975	-1.83873431709805	0.449989175652997	4.38543908895632e-05	0.000728165615395455	221.873691547081	raw_counts / DESeq2 median-of-ratios	0.871	0.228	184.01	48.693	184.01	48.693
MM_RS12725	-2.16133034566269	0.530457640363783	4.61205263770872e-05	0.000760511576328383	73.3191357500741	raw_counts / DESeq2 median-of-ratios	0.35	0.071	74.275	15.267	74.275	15.267
MM_RS06125	-2.46901615832338	0.606665697405119	4.70508163757358e-05	0.000770537684619071	82.5941712991634	raw_counts / DESeq2 median-of-ratios	0.231	0.035	49.081	7.721	49.081	7.721
MM_RS12585	-2.20749556457459	0.544493702751189	5.03025301598085e-05	0.000816845030407498	157.01176703704	raw_counts / DESeq2 median-of-ratios	0.707	0.137	152.128	29.351	152.128	29.351
MM_RS18245	2.1714700342239	0.53597485322533	5.09033498664647e-05	0.000816845030407498	128.675161512986	raw_counts / DESeq2 median-of-ratios	3.995	15.749	842.024	3418.63	842.024	3418.63
MM_RS04190	1.90570820690758	0.470353736727312	5.08579406868802e-05	0.000816845030407498	112.032189656835	raw_counts / DESeq2 median-of-ratios	0.896	3.144	191.536	668.677	191.536	668.677
MM_RS10925	-1.95713707451766	0.483605194964544	5.18842654910179e-05	0.000827035191926826	182.501469873884	raw_counts / DESeq2 median-of-ratios	0.359	0.079	76.319	17.31	76.319	17.31
MM_RS15835	-1.84112896867073	0.455540619922614	5.30797810140359e-05	0.00084048845301033	169.83558006401	raw_counts / DESeq2 median-of-ratios	1.472	0.371	314.897	79.494	314.897	79.494
MM_RS04805	-2.25335428255536	0.558240465478914	5.42476346013901e-05	0.000853329567973182	94.828250867859	raw_counts / DESeq2 median-of-ratios	0.387	0.069	82.131	15.185	82.131	15.185
MM_RS16225	1.90602437224641	0.472736254765776	5.53281949551097e-05	0.000864638654494558	479.993868555948	raw_counts / DESeq2 median-of-ratios	0.163	0.512	34.692	111.827	34.692	111.827
MM_RS04205	-1.71256169868585	0.427956013818	6.28827195737864e-05	0.000976315470785216	307.719445973266	raw_counts / DESeq2 median-of-ratios	2.81	0.833	594.132	176.396	594.132	176.396
MM_RS05455	-1.68682602634755	0.422030216037909	6.41687556065375e-05	0.000989854804227299	181.857012426848	raw_counts / DESeq2 median-of-ratios	0.528	0.153	111.938	32.597	111.938	32.597
MM_RS07375	-1.57433409004371	0.394363448627866	6.54937081639637e-05	0.00100381702705152	252.028953623436	raw_counts / DESeq2 median-of-ratios	0.44	0.137	93.447	29.309	93.447	29.309
MM_RS19280	2.78414689898009	0.701497128747046	7.22159948474926e-05	0.00109283825114149	45.9972930636187	raw_counts / DESeq2 median-of-ratios	0.054	0.378	11.484	78.857	11.484	78.857
MM_RS12735	-1.796945368765	0.452736497303758	7.21520004593947e-05	0.00109283825114149	828.894276306999	raw_counts / DESeq2 median-of-ratios	1.513	0.388	324.951	83.188	324.951	83.188
MM_RS11015	-1.94857433892793	0.492540232390488	7.61600360486014e-05	0.0011452745043535	215.778077263829	raw_counts / DESeq2 median-of-ratios	1.098	0.288	233.58	60.188	233.58	60.188
MM_RS05375	-2.49458391547784	0.631206269831674	7.74716276522235e-05	0.00115771663572792	273.06511264409	raw_counts / DESeq2 median-of-ratios	0.435	0.071	90.721	15.387	90.721	15.387
MM_RS16810	-2.38680172797598	0.605116404053154	8.00107396396144e-05	0.00118214618687049	108.572064742977	raw_counts / DESeq2 median-of-ratios	0.533	0.1	114.48	20.943	114.48	20.943
