gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS16625	31.6585	19.8177	5.4799	0.9329	0	2.6589	4.0762	0
MM_RS16630	227.6111	391.385	214.7396	249.6576	92.698	192.4168	66.1868	156.2031
MM_RS16635	23.8493	43.7103	37.5189	17.9672	5.0437	5.739	7.2189	6.7986
MM_RS16640	6.5078	15.5696	10.493	8.4374	0	6.012	0	0
MM_RS16645	50.0802	35.0775	23.7287	17.9411	3.8639	11.5663	6.2216	4.4118
MM_RS16650	19.9097	19.137	38.0011	20.3155	6.6987	14.547	15.0131	27.9067
MM_RS16655	4.6514	7.8763	2.8494	4.0978	0.7174	1.8838	1.1551	0.512
MM_RS16660	5.5812	3.9711	6.7591	4.5291	0.3277	1.8072	0.5277	2.1049
MM_RS16665	16.931	13.5157	25.7028	26.5726	4.7027	3.4301	3.5056	9.3282
MM_RS16670	17.6339	48.5168	38.8577	19.4332	0	8.1453	14.9844	17.7092
MM_RS16675	38.2096	49.2226	92.5488	57.2967	7.8499	14.0539	21.2577	20.8795
MM_RS16680	40.0132	86.5897	58.9828	25.05	3.6254	22.8471	17.5126	25.8714
MM_RS16685	2.7316	4.8054	31.0759	12.3957	10.1445	7.1501	10.7464	11.4305
MM_RS16695	337.6021	627.0219	51.7726	28.5854	70.182	129.7271	2.2983	8.1275
MM_RS16700	57.118	97.3042	104.8412	201.1696	8.0741	29.917	13.2415	26.2481
MM_RS16705	27.6199	33.683	13.8624	5.5734	3.1508	9.0123	5.0734	1.7988
MM_RS16715	26.7162	42.0973	12.6194	4.0581	3.6707	1.4458	2.9553	1.3097
MM_RS16720	18.6469	45.6079	49.2507	19.6861	9.372	22.1483	41.7508	30.765
MM_RS16725	61.501	72.3461	45.6205	11.005	39.8178	43.1287	32.057	39.0702
MM_RS16730	28.2142	29.5319	27.4847	10.2882	14.476	11.4034	14.9844	10.3303
MM_RS16735	61.3646	71.6311	30.5865	13.7943	22.6336	43.888	21.96	35.6166
MM_RS16740	10.7232	14.7342	13.863	14.2785	9.8565	17.6708	14.7763	32.0159
MM_RS16745	26.2897	24.1753	50.8918	31.1462	2.0564	3.8878	3.3112	7.631
MM_RS16750	86.406	118.5444	38.8577	13.7175	12.408	8.1453	29.9688	5.9031
MM_RS16760	23.8932	44.9282	25.9401	7.4347	14.5707	22.0731	5.8654	11.5977
MM_RS16765	7.6542	7.5212	5.8769	3.8986	15.3881	23.2337	5.6782	8.2359
MM_RS16770	31.9181	40.3872	11.1551	4.7742	4.7111	11.7519	12.0107	11.2063
MM_RS16775	12.9925	12.0098	13.3311	3.8284	4.1555	4.3647	0	0.9885
MM_RS16790	179.9273	274.1494	576.3455	138.4203	77.9396	173.4949	113.757	105.4969
MM_RS16795	187.1052	236.4194	537.948	239.8791	87.2812	160.0009	197.6736	143.7803
MM_RS16800	690.5038	1244.55	851.8276	273.381	141.3046	308.2489	157.5182	178.4048
MM_RS16810	69.8684	102.3595	210.1233	153.5189	9.6962	32.1893	66.3538	162.6054
MM_RS16815	76.038	64.6897	189.54	80.7372	6.9186	10.9002	4.9512	17.5546
MM_RS16830	23.1693	22.6755	37.6046	11.678	11.1368	9.0375	4.2522	12.9791
MM_RS16835	75.6962	109.449	41.4094	28.7189	20.3301	10.6766	5.4559	11.2839
MM_RS16840	11.0462	16.1514	11.9872	7.5592	2.5191	6.8037	1.4487	7.7044
MM_RS16845	9.2594	9.0907	3.5465	0	3.6517	1.7799	0	4.3585
MM_RS16850	11.9757	16.2845	1.8408	3.5288	1.2768	5.0288	0	1.8222
MM_RS16855	134.4366	256.2649	220.5556	95.4653	162.4738	396.2889	127.415	367.586
MM_RS16860	26.0377	58.7069	28.9548	17.5091	11.2665	13.0299	13.5307	22.8669
MM_RS16865	0	9.2117	9.6382	39.9365	0	5.0014	0	8.7354
MM_RS16875	20.9964	22.791	49.3183	12.3508	9.1198	14.7273	21.2925	27.0083
MM_RS16880	47.8038	36.0808	50.4677	16.2324	14.0154	15.2465	7.5225	20.0033
MM_RS16885	9.4955	4.8431	17.4159	5.6704	1.6498	1.6245	1.6603	4.4128
MM_RS16890	30.6583	37.9423	12.3594	12.5884	2.9965	4.7209	0	5.132
MM_RS16895	5.3767	8.4381	2.0641	0	0	0	0	1.2856
MM_RS16900	10.2623	33.4476	8.2966	3.9916	0	0	1.9379	1.7177
MM_RS16905	11.3441	10.8568	6.0809	2.9917	2.2696	5.2262	3.2329	7.9737
MM_RS16910	12.583	13.9216	8.7917	6.1177	4.0581	9.0089	3.8611	8.951
MM_RS16915	618.1855	1390.6418	501.5225	815.4255	107.827	198.7962	75.7283	165.3547
MM_RS16920	31.9139	34.8203	14.1366	9.5485	14.8062	31.7507	4.6357	12.327
MM_RS16925	32.8917	42.9711	66.72	40.5811	18.6646	21.5643	31.0552	45.2859
MM_RS16930	17.5281	25.6659	25.2235	8.6573	10.278	22.3616	11.427	21.6544
MM_RS16935	38.4143	33.2563	41.0496	15.355	19.8416	16.9699	22.8205	14.1594
MM_RS16940	32.8395	54.0151	10.4796	5.9874	150.4387	231.3265	42.6332	97.9084
MM_RS16945	18.1518	14.5941	7.5045	5.1292	9.8249	9.4594	1.3183	5.0637
MM_RS16950	104.2773	233.4863	171.8489	87.4053	22.589	46.2653	20.611	26.8665
MM_RS16955	93.4036	309.0475	162.351	99.1981	37.2897	58.7496	28.1453	56.5475
MM_RS16960	148.0645	138.4137	176.7502	144.0295	19.8579	23.7015	14.0496	23.6183
MM_RS16975	137.1264	170.2826	68.4006	65.6261	39.2511	73.2916	33.5007	39.4219
MM_RS16980	43.8202	82.9971	30.8414	5.4108	39.1542	47.2292	2.9553	27.068
MM_RS16990	290.1048	393.1736	497.0301	234.8782	51.1674	68.2571	216.7185	107.9543
MM_RS16995	385.5268	430.3925	432.7686	198.9267	69.0956	138.3423	259.5987	265.0297
MM_RS17000	18.0877	24.1793	39.645	21.6188	9.6118	13.5767	30.9534	31.4574
MM_RS17010	99.7752	184.5638	135.8219	55.6897	31.6245	63.3479	42.5556	58.6763
MM_RS17015	91.8784	91.4941	59.8135	47.1873	23.5229	45.4285	35.127	29.5115
MM_RS17020	27.0571	24.4221	20.0945	11.7996	19.6156	30.6769	23.6885	33.9658
MM_RS17025	47.7865	114.3276	77.5636	76.8252	5.6041	9.7122	11.7308	11.1978
MM_RS17030	82.1241	87.5138	144.4075	50.425	25.0771	47.525	45.3529	49.2773
MM_RS17035	73.4869	99.579	39.9047	26.8041	18.3111	31.7874	14.4691	15.2445
MM_RS17045	19.3448	25.7114	35.2335	13.2367	6.9318	17.8707	16.7422	17.9878
MM_RS17050	39.2335	46.5093	23.6945	8.9727	11.5593	11.237	9.9003	10.1796
MM_RS17055	48.9915	86.2801	53.3933	29.9947	12.7677	30.173	20.5583	18.2225
MM_RS17060	235.2252	258.6922	215.3287	162.3242	35.1498	53.6257	69.135	66.6777
MM_RS17065	55.8321	51.5555	61.601	22.9525	62.4983	45.5234	139.9222	77.2861
MM_RS17070	905.166	1298.277	299.1687	303.8095	77.3824	212.5703	67.0922	90.6198
MM_RS17075	402.6431	645.4183	328.9347	156.6097	491.0853	312.456	212.8907	390.8833
MM_RS17085	326.7219	392.8004	537.8605	400.2515	87.4935	180.6248	191.889	144.2508
MM_RS17090	28.5639	32.1348	72.4914	38.4246	9.2211	19.7428	14.0862	25.9839
MM_RS17095	20.3393	23.7365	42.5359	15.921	8.6734	19.5212	11.9706	24.5369
MM_RS17100	51.4896	70.0565	50.6397	50.0185	13.8136	29.0992	9.7467	16.614
MM_RS17105	297.8909	318.905	92.8141	89.5582	50.6304	75.7794	16.3048	32.5177
MM_RS17110	173.5144	135.8173	29.8757	23.2373	68.2355	138.22	23.0534	29.999
MM_RS17120	21.3484	37.4988	52.1372	22.7514	17.4715	23.8194	31.1079	32.6086
MM_RS17125	430.8424	611.3921	317.828	334.0605	49.5361	171.696	183.4528	169.6791
MM_RS17135	25.1071	52.6815	102.023	37.5429	24.3405	35.2556	34.4516	58.5531
MM_RS17140	19.9897	34.8406	55.0823	21.3212	11.9327	20.816	26.4214	24.3319
MM_RS17145	58.6604	113.1647	95.5239	77.1891	5.1339	11.3237	11.573	12.4563
