gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS04200	369.574	438.6288	779.8152	396.3957	107.0378	133.9381	208.5226	238.8966
MM_RS04205	150.9257	287.1019	1077.7877	652.2998	34.3578	71.4799	188.3087	168.1706
MM_RS04210	70.9887	82.2233	312.4958	118.8213	30.3934	40.5978	150.7179	101.2167
MM_RS04215	88.2664	128.7266	525.0657	194.0586	39.2031	62.8052	228.0273	235.1245
MM_RS04220	29.6725	67.6208	263.4413	208.4243	9.2502	6.2458	19.15	7.5441
MM_RS04225	257.2871	447.7349	1933.3157	1758.2147	29.5125	65.2341	52.4853	62.2388
MM_RS04230	132.2118	243.974	645.7844	471.633	69.5966	140.8779	153.2003	193.0033
MM_RS04235	161.1331	228.0236	590.0681	579.0105	18.0599	42.3328	49.2936	58.4668
MM_RS04240	837.5916	604.9925	1821.0756	1105.9148	140.9551	230.4012	176.9605	376.5764
MM_RS04245	186.0682	212.8747	474.7109	473.3418	39.1996	77.3812	93.2678	149.6247
MM_RS04250	60.4719	65.5989	29.2713	19.4789	111.0021	204.724	20.5686	87.7002
MM_RS04255	14.6485	19.5449	31.0881	10.4699	5.2858	9.7157	14.8945	11.6305
MM_RS04260	29.3037	61.1058	29.2713	13.3917	17.1789	32.2701	29.4343	49.9797
MM_RS04265	595.7042	934.3531	304.2191	358.4119	55.5152	79.1137	49.2936	32.0624
MM_RS04275	119.0683	44.3628	140.1911	65.4418	78.0675	84.3251	216.5795	45.9065
MM_RS04280	77.3739	139.2853	325.0074	530.0697	30.3934	35.74	64.5427	86.1285
MM_RS04285	159.2551	266.8886	381.9394	183.3452	62.9893	113.4657	121.6382	129.5071
MM_RS04290	145.7334	115.2483	208.5324	193.5716	47.1319	65.5811	70.2168	88.3289
MM_RS04295	167.5183	213.4211	119.5075	106.16	119.3713	223.1144	131.2132	183.8875
MM_RS04300	11.268	16.6163	26.2432	9.7395	4.8453	3.4699	3.1917	4.7151
MM_RS04305	10.5168	13.4763	10.2954	5.6002	4.8453	5.2048	2.1278	4.4007
MM_RS04310	759.0758	646.0619	66.0117	254.6867	694.2037	1088.507	94.6863	814.1343
MM_RS04315	687.1278	716.173	161.4966	402.7264	177.5153	225.1371	54.9677	166.8083
MM_RS04320	1071.5914	1200.3247	344.7952	769.1733	315.387	392.4455	97.1687	305.5361
MM_RS04325	363.2068	210.7079	127.5823	212.0766	62.1083	132.5501	26.9519	83.2995
MM_RS04330	13.5217	26.7338	30.0787	10.9569	5.7263	9.3687	11.7028	9.1158
MM_RS04335	156.6259	124.9075	82.767	37.7404	65.1917	124.5693	84.402	49.0367
MM_RS04340	153.2455	204.4349	83.7763	55.5149	66.5132	205.765	93.6224	89.9005
MM_RS04345	112.3049	79.3057	67.6267	39.9318	48.8938	56.5593	51.0668	57.5238
MM_RS04350	26.6677	39.9884	22.0039	17.044	5.2858	10.4097	6.3833	5.6581
MM_RS04355	47.9647	90.3108	63.1855	35.549	7.4882	13.5326	17.7315	14.1452
MM_RS04360	5.2584	9.2108	4.4412	2.4349	0.881	0.694	2.4824	4.0864
MM_RS04365	10.8654	6.2903	4.4412	2.4349	0.881	2.7759	3.1917	5.3437
MM_RS04370	227.9902	208.4818	68.2323	79.3765	119.3713	170.025	89.7215	131.0788
MM_RS04375	76.3271	127.2742	82.5657	94.4727	14.9765	26.3712	27.3065	22.0036
MM_RS04380	121.3193	100.4202	96.0907	36.7664	244.9094	246.3628	103.552	122.5917
MM_RS04385	125.9501	114.8392	92.8605	65.2543	18.0599	27.0652	20.2139	18.2316
MM_RS04390	12.3949	14.3765	10.5118	4.1393	4.4048	5.8988	4.2556	8.1728
MM_RS04395	57.0847	69.4393	106.3861	38.7143	20.7028	23.5925	36.1723	35.2058
MM_RS04400	28.5457	35.9446	32.2993	19.7224	21.1433	55.1714	24.8241	27.6617
MM_RS04405	440.252	664.7417	525.4824	582.7412	50.5377	121.6133	65.7821	149.939
MM_RS04410	140.0994	120.6393	91.6493	65.2543	92.5018	95.4222	47.1658	71.9833
