gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00285	326.4499	324.0008	300.2194	193.1354	68.6265	95.1505	57.8477	59.9456
MM_RS00290	168.6918	120.2123	93.3679	396.7919	71.7459	74.3363	52.0629	98.0928
MM_RS00295	373.3088	298.4318	181.0426	531.3103	349.3715	270.5843	212.1082	220.7087
MM_RS00300	367.0609	437.3438	462.6643	500.4988	202.7603	325.5932	306.5928	325.6135
MM_RS00305	249.1328	202.6436	133.22	409.5674	112.298	136.7789	84.8433	121.2536
MM_RS00310	1255.817	1053.6704	874.0902	1750.2429	290.1031	581.3102	343.2297	366.4855
MM_RS00315	130.4238	144.2548	145.3654	328.4054	59.2684	135.2921	48.2064	96.7304
MM_RS00320	17.1816	34.3464	29.6044	58.617	49.9102	92.1771	65.5607	89.9184
MM_RS00325	139.7955	122.1204	84.6383	94.689	352.4909	487.6464	273.8124	521.7991
MM_RS00330	307.7064	233.1737	380.3033	370.4894	315.0582	355.3277	291.1667	374.6599
MM_RS00335	94.4987	66.0214	66.0407	51.102	224.596	234.9028	59.776	194.8232
MM_RS00340	385.8045	278.9689	492.6483	873.9942	293.2225	324.1064	451.212	400.5455
MM_RS00345	149.9483	170.587	194.3266	623.7448	99.8204	102.5842	53.9912	128.0656
MM_RS00350	248.3519	266.3752	211.4061	710.1673	221.4766	200.7081	181.2561	205.7224
MM_RS00355	67.1643	67.9295	140.8109	356.2109	84.2235	96.6372	426.1447	489.1015
MM_RS00360	55.4496	82.4313	151.8177	96.192	43.6714	49.062	80.9868	61.308
MM_RS00365	17.1816	56.0991	111.586	36.8235	40.5521	46.0885	77.1303	42.2344
MM_RS00370	2347.628	1142.5894	5075.2645	3026.2895	2529.8241	1232.4965	2321.6209	959.1294
MM_RS00375	53.8877	44.2687	201.538	202.9049	59.2684	37.1682	115.6954	173.0248
MM_RS00380	303.8015	308.3541	827.0267	1888.5189	180.9245	303.2923	343.2297	404.6327
MM_RS00385	114.8042	127.8448	119.936	77.4045	327.5358	196.2479	65.5607	163.488
MM_RS00390	108.5563	103.8024	66.0407	45.09	87.3429	37.1682	42.4216	20.436
MM_RS00395	378.7756	1437.5865	2046.1226	287.8244	421.1174	1012.461	420.3599	81.744
MM_RS00400	64.8214	44.2687	26.1885	14.2785	74.8653	65.416	71.3455	50.4088
MM_RS00405	77.3171	99.6045	33.7794	36.072	65.5072	62.4425	25.0673	24.5232
MM_RS00410	527.162	520.1567	61.8657	99.198	396.1623	425.2039	140.7627	204.36
MM_RS00415	80.441	123.2653	357.9101	278.0549	102.9398	130.832	123.4084	174.3872
MM_RS00420	21.0865	26.7138	51.2385	51.102	9.3582	17.8407	26.9956	29.9728
MM_RS00425	34.3632	49.6114	148.0222	45.8415	12.4776	16.354	26.9956	19.0736
MM_RS00430	31.2392	76.3253	51.618	60.8715	74.8653	139.7523	125.3367	162.1256
MM_RS00435	92.9367	112.5798	318.8171	165.3299	43.6714	53.5222	115.6954	102.18
MM_RS00440	666.1765	646.4751	822.8517	1819.3809	449.1919	451.965	445.4273	525.8863
MM_RS00445	28.1153	25.1873	34.9181	17.2845	59.2684	80.2832	82.915	58.5832
MM_RS00450	82.784	50.7563	113.4837	59.3685	71.7459	52.0354	92.5563	79.0192
MM_RS00455	145.2624	157.2301	52.3771	64.629	102.9398	208.1418	61.7042	102.18
MM_RS00460	173.3777	167.1524	83.8793	133.0155	230.8347	343.4339	194.7539	215.2592
MM_RS00465	387.3664	306.8276	124.1109	248.7464	327.5358	407.3631	119.5519	209.8096
MM_RS00470	240.5421	217.527	271.7536	500.4988	315.0582	307.7525	638.2529	415.5319
MM_RS00480	281.934	398.0363	414.0827	974.6952	93.5817	107.0443	268.0277	239.7823
MM_RS00485	42.9539	22.8976	18.9772	0	0	0	0	50.4088
MM_RS00490	624.0036	513.2875	277.4468	572.6428	467.9083	545.6287	395.2926	380.1095
MM_RS00495	47.6398	65.2581	48.9612	43.587	90.4623	112.9912	106.0541	144.4144
MM_RS00505	48.4208	63.35	38.7135	39.078	21.8357	26.7611	0	17.7112
MM_RS00510	98.4036	127.0816	68.3179	89.4285	109.1786	129.3452	109.9106	92.6432
MM_RS00515	59.3545	66.0214	32.2613	79.659	49.9102	75.8231	30.8521	34.06
MM_RS00520	42.173	51.5196	45.1658	57.8655	18.7163	41.6284	15.4261	44.9592
MM_RS00525	55.4496	37.0178	56.1725	45.8415	18.7163	26.7611	38.5651	24.5232
MM_RS00530	45.2969	96.5515	104.7542	50.3505	9.3582	14.8673	21.2108	19.0736
MM_RS00535	39.83	64.1132	64.5225	35.3205	12.4776	25.2744	9.6413	12.2616
MM_RS00540	338.1646	221.3433	104.7542	108.9675	2180.4526	367.2215	80.9868	599.4559
MM_RS00545	24.9914	45.7952	31.1226	29.3085	12.4776	31.2213	21.2108	27.248
MM_RS00550	118.7091	93.1168	86.5361	118.737	112.298	120.4249	107.9824	123.9784
MM_RS00555	137.4526	185.852	278.5854	199.8989	81.1041	159.0798	154.2605	132.1528
MM_RS00560	167.9109	184.3255	280.4831	265.2794	436.7144	346.4073	468.5663	429.1559
MM_RS00565	5.4669	0	5.6932	3.006	6.2388	0	38.5651	24.5232
MM_RS00570	55.4496	60.6786	244.806	278.8064	34.3133	47.5753	98.3411	69.4824
MM_RS00575	606.041	271.3364	266.44	102.204	664.4297	448.9915	206.3234	175.7496
MM_RS00580	119.49	97.6964	85.3974	24.7995	168.447	156.1063	38.5651	66.7576
MM_RS00585	6.2478	1.1449	1.8977	1.503	0	0	0	1.3624
MM_RS00590	16.4006	15.6467	89.952	214.9289	6.2388	16.354	21.2108	46.3216
MM_RS00595	3.9049	1.1449	0.7591	2.2545	9.3582	11.8938	3.8565	12.2616
MM_RS00600	595.1073	521.3016	820.5745	893.5332	274.5062	264.6374	497.4902	265.6679
MM_RS00605	573.2398	461.3863	347.2829	333.6659	639.4746	625.912	447.3555	318.8015
MM_RS00610	46.0779	43.887	36.0567	48.096	112.298	108.5311	109.9106	106.2672
MM_RS00615	250.6948	237.3716	98.3019	284.8184	258.9092	297.3454	104.1259	110.3544
MM_RS00620	43.7349	45.4135	33.3999	45.8415	109.1786	77.3098	48.2064	44.9592
MM_RS00625	349.0984	344.227	384.4782	257.7644	190.2827	203.6816	127.2649	130.7904
MM_RS00630	46.0779	33.5831	16.6999	22.545	249.5511	165.0267	109.9106	89.9184
MM_RS00635	559.9632	798.3624	293.3876	909.3147	296.3419	316.6728	208.2517	170.3
MM_RS00640	453.7498	280.4954	775.0292	824.3952	449.1919	487.6464	998.8369	1035.4238
MM_RS00645	623.2226	811.3377	1230.8617	1122.7406	898.3839	1537.2755	1135.7431	1980.9291
MM_RS00650	1761.8925	1370.8019	1714.401	2041.0733	2392.571	2479.8603	2873.1022	2189.3763
MM_RS00655	230.3893	204.1701	103.236	89.4285	249.5511	228.9559	125.3367	91.2808
MM_RS00660	592.7644	443.8315	723.7907	913.8237	296.3419	165.0267	304.6645	160.7632
MM_RS00665	49.9828	60.6786	26.9476	33.8175	74.8653	40.1416	26.9956	40.872
MM_RS00670	96.0606	105.7105	48.9612	70.641	18.7163	74.3363	17.3543	14.9864
MM_RS00675	62.4785	117.9225	50.8589	51.8535	59.2684	69.8762	61.7042	64.0328
MM_RS00680	4857.7	4657.3683	905.5924	1286.5676	4700.9184	3942.7995	838.7916	426.4311
MM_RS00685	3412.1047	2709.1656	547.6822	413.3249	5143.8716	3135.5069	1074.0389	348.7743
