gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS00555	-0.569988541825024	0.343653851554605	0.620330705188901	183.285449710867	raw_counts / DESeq2 median-of-ratios (via riborex)	0.701	0.587	9.348	9.635	148.639	122.678	537.728	442.949	148.639	122.678	537.728	442.949
MM_RS01590	0.726161632337598	0.345444214973844	0.620476408017314	63.6050100816499	raw_counts / DESeq2 median-of-ratios (via riborex)	0.076	0.129	1.224	3.259	16.029	27.915	71.366	146.243	16.029	27.915	71.366	146.243
MM_RS01655	0.571289032061305	0.346396743978076	0.621762029860853	350.609044692949	raw_counts / DESeq2 median-of-ratios (via riborex)	0.704	1.278	6.477	17.506	149.419	270.624	394.262	785.088	149.419	270.624	394.262	785.088
MM_RS02490	-0.972707542237108	0.346935402298976	0.622303528987097	226.266292595788	raw_counts / DESeq2 median-of-ratios (via riborex)	0.204	0.122	3.862	4.439	42.986	24.982	254.484	193.854	42.986	24.982	254.484	193.854
MM_RS14240	-0.646754164065651	0.347947779484282	0.623693425887866	420.987061184452	raw_counts / DESeq2 median-of-ratios (via riborex)	0.438	0.327	0.948	1.096	92.288	71.433	57.709	49.659	92.288	71.433	57.709	49.659
MM_RS12680	0.752896852927125	0.348835019883237	0.624857272996849	193.909672437389	raw_counts / DESeq2 median-of-ratios (via riborex)	0.386	0.656	3.101	7.523	82.884	138.525	174.433	337.572	82.884	138.525	174.433	337.572
MM_RS16265	0.705738417263593	0.349273535705776	0.624954414512698	111.168062113214	raw_counts / DESeq2 median-of-ratios (via riborex)	0.255	0.35	1.778	4.296	54.61	75.299	100.528	188.218	54.61	75.299	100.528	188.218
MM_RS17160	-0.691722940558064	0.349603212078886	0.624954414512698	335.528481399317	raw_counts / DESeq2 median-of-ratios (via riborex)	0.132	0.111	1.521	1.622	28.404	23.698	90.313	69.44	28.404	23.698	90.313	69.44
MM_RS07115	-0.543219889832111	0.349590592896328	0.624954414512698	167.562284202918	raw_counts / DESeq2 median-of-ratios (via riborex)	3.701	2.529	62.251	71.972	786.247	524.798	3697.161	3291.542	786.247	524.798	3697.161	3291.542
MM_RS06385	0.745257252562475	0.35060901978885	0.625900262383086	60.9484931913359	raw_counts / DESeq2 median-of-ratios (via riborex)	0.072	0.041	0.353	1.098	15.184	8.586	21.661	48.587	15.184	8.586	21.661	48.587
MM_RS01175	-0.497387961060866	0.350401862159666	0.625900262383086	218.591375196837	raw_counts / DESeq2 median-of-ratios (via riborex)	0.127	0.195	1.802	2.108	27.056	40.629	106.145	95.685	27.056	40.629	106.145	95.685
MM_RS16380	0.623583550275312	0.351173493768972	0.626482061574267	96.8455612647718	raw_counts / DESeq2 median-of-ratios (via riborex)	0.086	0.182	1.239	2.902	18.292	38.827	70.869	130.604	18.292	38.827	70.869	130.604
MM_RS06970	0.601873153313851	0.351665191783617	0.626531634506723	429.901179687912	raw_counts / DESeq2 median-of-ratios (via riborex)	0.699	1.127	7.065	17.808	147.25	241.09	417.014	808.864	147.25	241.09	417.014	808.864
MM_RS10745	-0.571355846817452	0.351678457449699	0.626531634506723	190.401317838721	raw_counts / DESeq2 median-of-ratios (via riborex)	0.189	0.165	3.169	3.25	40.088	35.391	181.681	147.322	40.088	35.391	181.681	147.322
MM_RS18875	0.751189371125243	0.352875609673864	0.627387509142564	357.104998695514	raw_counts / DESeq2 median-of-ratios (via riborex)	7.113	6.081	107.804	292.795	1490.138	1310.338	6286.398	13022.356	1490.138	1310.338	6286.398	13022.356
